trial,word,color,color_code,congruent,stim_onset,stim_offset,resp_code,RT,resp_color
1,red,red,3,1,18995.71792,18997.72972,21,0.780614309,3
2,green,red,3,0,18998.76292,19000.78078,21,0.963146909,3
3,green,green,2,1,19001.81409,19003.83205,10,0.786980656,2
4,blue,blue,1,1,19004.85,19006.86628,5,0.572665455,1
5,red,green,2,0,19007.89991,19009.91768,10,0.944616757,2
6,blue,blue,1,1,19010.9435,19012.95974,10,0.83771167,1
7,green,red,3,0,19013.98433,19016.00299,21,0.63726926,3
8,red,green,2,0,19017.01683,19019.03782,10,0.68070566,2
9,green,blue,1,0,19020.04983,19022.07257,5,0.757163488,1
10,red,green,2,0,19023.08395,19025.10686,21,0.88976798,3
11,red,red,3,1,19026.12447,19028.14129,10,0.884984053,3
12,blue,red,3,0,19029.15812,19031.17562,5,0.698450465,1
13,red,blue,1,0,19032.19256,19034.21062,21,1.07295319,3
14,blue,blue,1,1,19035.22725,19037.24522,10,0.560876223,1
15,blue,green,2,0,19038.26227,19040.2791,5,0.720880792,1
16,green,blue,1,0,19041.2971,19043.31415,5,0.70023896,1
17,blue,red,3,0,19044.33118,19046.34867,5,1.350985461,1
18,blue,green,2,0,19047.36616,19049.3828,10,1.380762056,2
19,green,green,2,1,19050.40107,19052.41802,10,0.695825802,2
20,blue,blue,1,1,19053.43512,19055.45126,5,0.598283527,1
21,green,blue,1,0,19056.46896,19058.48394,5,1.023651495,1
22,blue,red,3,0,19059.50437,19061.51684,21,0.9348527,3
23,blue,red,3,0,19062.53828,19064.55065,21,1.201095279,3
24,green,green,2,1,19065.5731,19067.5842,10,0.827458111,2
25,blue,red,3,0,19068.6073,19070.61742,21,1.550450384,3
26,red,green,2,0,19071.64206,19073.6513,10,1.759111122,2
27,green,blue,1,0,19074.67668,19076.68366,10,1.58728519,2
28,green,green,2,1,19077.71062,19079.71748,10,1.468787921,2
29,red,blue,1,0,19080.72938,19082.74625,5,1.770511867,1
30,red,blue,1,0,19083.76348,19085.78055,5,1.628019605,2
31,green,red,3,0,19086.79813,19088.81535,21,1.076232059,3
32,blue,red,3,0,19089.83308,19091.85023,21,1.569960054,3
33,red,green,2,0,19092.86654,19094.88389,10,1.666593581,2
34,green,green,2,1,19095.90137,19097.91755,10,1.344884971,2
35,red,red,3,1,19098.93578,19100.95083,21,1.130793955,3
36,red,blue,1,0,19101.97112,19103.98498,21,1.373393094,3
