trial,word,color,color_code,congruent,stim_onset,stim_offset,resp_code,RT,resp_color
1,red,red,3,1,27565.579720254,27567.596210607,21,1.06746679400021,3
2,green,red,3,0,27568.629681621,27570.646645473,21,0.65918148199853,3
3,green,green,2,1,27571.680240972,27573.696338847,10,0.76725114600049,2
4,blue,blue,1,1,27574.713425069,27576.730606604,5,0.764566759000445,1
5,red,green,2,0,27577.746021289,27579.763130763,10,1.32280746299875,2
6,blue,blue,1,1,27580.779892375,27582.795971828,5,0.860187381997093,1
7,green,red,3,0,27583.812985929,27585.8300154,21,0.776031024000986,3
8,red,green,2,0,27586.846183815,27588.863365914,10,0.761402150001231,2
9,green,blue,1,0,27589.879704172,27591.896168145,5,0.812331056000403,1
10,red,green,2,0,27592.913366433,27594.929401149,10,0.961433999000292,2
11,red,red,3,1,27595.946865487,27597.963174125,21,0.612911618001817,3
12,blue,red,3,0,27598.979443634,27600.996280061,5,0.923242495999148,1
13,red,blue,1,0,27602.012508428,27604.029056354,5,0.723883403999935,1
14,blue,blue,1,1,27605.046368081,27607.06248057,5,1.20837165400008,1
15,blue,green,2,0,27608.078926028,27610.09596439,10,0.832543650998559,2
16,green,blue,1,0,27611.113151815,27613.129227858,5,1.48576819400114,1
17,blue,red,3,0,27614.146557094,27616.162466469,21,0.987651410996477,3
18,blue,green,2,0,27617.179749247,27619.196088668,10,1.06554816399876,2
19,green,green,2,1,27620.212993047,27622.229057573,10,0.759614807000617,2
20,blue,blue,1,1,27623.246300847,27625.26245963,5,1.21413295000093,1
21,green,blue,1,0,27626.279427934,27628.295611266,5,1.39774939799827,1
22,blue,red,3,0,27629.312469318,27631.329530498,21,0.912841657001991,3
23,blue,red,3,0,27632.345769621,27634.3620756,21,0.737764435001736,3
24,green,green,2,1,27635.379370476,27637.395152041,10,0.661519100001897,2
25,blue,red,3,0,27638.412298845,27640.428948197,21,1.26489634099926,3
26,red,green,2,0,27641.445692338,27643.462767745,10,0.797292156999902,2
27,green,blue,1,0,27644.479134738,27646.4952542,5,1.14806106999822,1
28,green,green,2,1,27647.512496872,27649.52859647,10,0.866998817997228,2
29,red,blue,1,0,27650.545729138,27652.562654861,5,0.834533186000044,1
30,red,blue,1,0,27653.578800269,27655.595821933,5,0.910772291001194,1
31,green,red,3,0,27656.611916988,27658.628377935,21,1.44950859600067,3
32,blue,red,3,0,27659.645575461,27661.662502539,21,1.23596529499991,3
33,red,green,2,0,27662.67891229,27664.695503181,10,0.781974265999452,2
34,green,green,2,1,27665.712263364,27667.728759727,10,0.769845073999022,2
35,red,red,3,1,27668.744940232,27670.761698043,21,0.869813821998832,3
36,red,blue,1,0,27671.7786959,27673.794884646,5,1.1723374510002,1
