trial,word,color,color_code,congruent,stim_onset,stim_offset,resp_code,RT,resp_color
1,blue,green,2,0,37264.779507882,37266.797680192,10,0.484770763003326,2
2,red,green,2,0,37267.831629077,37269.848598899,10,0.475281740000355,2
3,green,red,3,0,37270.865560739,37272.883662744,21,0.361762922999333,3
4,blue,green,2,0,37273.900508674,37275.918592216,10,0.412375011001131,2
5,blue,blue,1,1,37276.951917741,37278.970060786,5,0.46960183000192,1
6,green,red,3,0,37279.98723914,37282.00432515,21,0.31762401600281,3
7,green,blue,1,0,37283.02158451,37285.039814288,5,0.396694577000744,1
8,blue,blue,1,1,37286.055547103,37288.074386937,5,0.3846443539951,1
9,red,red,3,1,37289.090855405,37291.109050243,21,0.328598158004752,3
10,blue,red,3,0,37292.126040627,37294.144952189,21,0.404440238999086,3
11,green,blue,1,0,37295.16083446,37297.178984316,5,0.34071770299488,1
12,red,green,2,0,37298.195942164,37300.213064746,10,0.311346768001385,2
13,blue,blue,1,1,37301.230089056,37303.248478764,5,0.380221453000559,1
14,red,green,2,0,37304.265368576,37306.282481986,10,0.404821901000105,2
15,blue,green,2,0,37307.299510303,37309.317821233,10,0.347817556001246,2
16,green,red,3,0,37310.334876385,37312.352098371,21,0.434460308002599,3
17,red,blue,1,0,37313.369285363,37315.387302357,5,0.330747949999932,1
18,green,red,3,0,37316.40487304,37318.422109942,21,0.390259007996065,3
19,blue,blue,1,1,37319.43913186,37321.45637795,5,0.410998483996082,1
20,blue,green,2,0,37322.473499246,37324.491615452,10,0.425853638000262,2
21,green,red,3,0,37325.508718379,37327.526334574,21,0.290045007997833,3
22,blue,blue,1,1,37328.543263896,37330.561340096,5,0.352513816003921,1
23,red,red,3,1,37331.578221236,37333.595167733,5,0.403686457000731,1
24,green,blue,1,0,37334.613295241,37336.630520371,5,0.402239254006417,1
25,red,green,2,0,37337.647523013,37339.665615853,10,0.411971932000597,2
26,red,blue,1,0,37340.682492315,37342.700723746,5,0.376047113000823,1
27,green,green,2,1,37343.717765794,37345.734874648,10,0.380862975005584,2
28,red,red,3,1,37346.751732797,37348.769793779,21,0.324633864001953,3
29,red,green,2,0,37349.786658577,37351.804603414,10,0.406254551999155,2
30,green,blue,1,0,37352.821418149,37354.839320721,5,0.308497185003944,1
31,red,red,3,1,37355.856341513,37357.874438029,21,0.478730284004996,3
32,blue,green,2,0,37358.890479086,37360.908584531,10,0.348522300999321,2
33,green,blue,1,0,37361.925839828,37363.944045392,5,0.37820878400089,1
34,blue,red,3,0,37364.960016558,37366.978175578,21,0.395993865000491,3
35,red,red,3,1,37367.99555019,37370.012531765,21,0.411774991000129,3
36,green,green,2,1,37371.029782197,37373.047866569,5,0.35892880299798,1
