subID,part,block,trial,number,font_size,resp_RT
2,pre,0,1,0,100,0.67895042
2,pre,0,2,8,120,0.493414098
2,pre,0,3,8,120,0.36008113
2,pre,0,4,4,100,0.517099032
2,pre,0,5,4,100,0.496469655
2,pre,0,6,8,48,0.348424263
2,pre,0,7,2,72,0.39167942
2,pre,0,8,8,72,0.357394034
2,pre,0,9,0,48,0.37167944
2,pre,0,10,8,100,0.366914442
2,pre,0,11,7,72,0.36507693
2,pre,0,12,3,120,0.313613238
2,pre,0,13,6,100,0.582231403
2,pre,0,14,6,100,0.435045868
2,pre,0,15,1,120,0.366850406
2,pre,0,16,0,100,0.378330919
2,pre,0,17,9,120,0.566181766
2,pre,0,18,0,48,0.37272661
2,pre,0,19,5,120,0.40071939
2,pre,0,20,8,120,0.363558568
2,pre,0,21,4,48,0.376972132
2,pre,0,22,1,120,0.373576194
2,pre,0,23,7,72,0.372476289
2,pre,0,24,4,120,0.384394777
2,pre,0,25,9,72,0.365903228
2,pre,0,26,2,100,0.362389492
2,pre,0,27,0,72,0.375655808
2,pre,0,28,6,120,0.388269441
2,pre,0,29,9,94,0.366076843
2,pre,0,30,9,48,0.380047551
2,pre,0,31,4,72,0.362394971
2,pre,0,32,2,94,0.358350116
2,pre,0,33,8,72,0.370647338
2,pre,0,34,9,48,0.306082042
2,pre,0,35,0,100,0.334971319
2,pre,0,36,7,48,0.363956137
2,pre,0,37,6,94,0.345548143
2,pre,0,38,3,100,0.310193672
2,pre,0,39,7,94,0.370041568
2,pre,0,40,2,72,0.350891173
2,pre,0,41,4,100,0.331120968
2,pre,0,42,6,100,0.344887583
2,pre,0,43,2,48,0.26463392
2,pre,0,44,2,94,0.309439627
2,pre,0,45,5,72,0.259776807
2,pre,0,46,1,94,0.239848397
2,pre,0,47,7,94,0.347856504
2,pre,0,48,6,94,0.328462294
2,pre,0,49,9,94,0.327119602
2,pre,0,50,7,94,0.32454688
2,pre,0,51,8,72,0.371154143
2,pre,0,52,7,72,0.383422601
2,pre,0,53,0,48,0.333451588
2,pre,0,54,0,100,0.331855493
2,pre,0,55,2,94,0.312722904
2,pre,0,56,2,94,0.310897035
2,pre,0,57,1,100,0.355894164
2,pre,0,58,1,72,0.353687506
2,pre,0,59,3,48,0.337066343
2,pre,0,60,7,120,NaN
2,pre,0,61,6,100,0.489448688
2,pre,0,62,1,48,0.536442562
2,pre,0,63,6,48,0.389430984
2,pre,0,64,5,94,0.357022491
2,pre,0,65,3,94,0.304959194
2,pre,0,66,2,120,NaN
2,pre,0,67,6,48,0.379561976
2,pre,0,68,5,48,0.313355726
2,pre,0,69,8,94,0.231266606
2,pre,0,70,1,48,0.293498885
2,pre,0,71,9,48,0.243039559
2,pre,0,72,4,100,0.226166705
2,pre,0,73,5,94,0.190518424
2,pre,0,74,8,48,0.284868811
2,pre,0,75,7,120,0.329970383
2,pre,0,76,0,120,0.358023089
2,pre,0,77,7,48,0.371446584
2,pre,0,78,9,72,0.369279306
2,pre,0,79,7,100,0.430515096
2,pre,0,80,8,48,0.494067466
2,pre,0,81,9,72,0.428018737
