subID,part,block,trial,number,font_size,resp_RT
1,pre,0,1,7,94,0.828144342
1,pre,0,2,6,72,0.599343276
1,pre,0,3,2,120,0.465770945
1,pre,0,4,2,120,0.412831012
1,pre,0,5,3,100,0.360788603
1,pre,0,6,2,94,0.388584825
1,pre,0,7,0,72,0.433208356
1,pre,0,8,0,48,0.510430432
1,pre,0,9,2,120,0.429557644
1,pre,0,10,4,120,0.55013932
1,pre,0,11,8,120,0.652726322
1,pre,0,12,6,100,0.679429488
1,pre,0,13,6,94,0.644626681
1,pre,0,14,1,120,0.654999413
1,pre,0,15,2,48,0.618924799
1,pre,0,16,3,100,NaN
1,pre,0,17,0,72,0.49522764
1,pre,0,18,4,48,0.427669794
1,pre,0,19,8,94,0.496066608
1,pre,0,20,0,94,0.523156384
1,pre,0,21,9,48,0.561696538
1,pre,0,22,7,72,0.479504344
1,pre,0,23,8,94,0.599737078
1,pre,0,24,9,94,0.601556098
1,pre,0,25,9,100,0.482202056
1,pre,0,26,1,120,0.455710858
1,pre,0,27,5,72,0.466584916
1,pre,0,28,2,100,0.558612216
1,pre,0,29,7,48,0.763344135
1,pre,0,30,6,120,0.628668475
1,pre,0,31,7,100,0.484556989
1,pre,0,32,1,94,0.475448189
1,pre,0,33,9,72,0.468408045
1,pre,0,34,0,100,0.462057911
1,pre,0,35,1,100,0.458621222
1,pre,0,36,7,48,0.443401993
1,pre,0,37,4,100,0.451500606
1,pre,0,38,3,100,NaN
1,pre,0,39,6,48,0.425392594
1,pre,0,40,5,94,0.33873161
1,pre,0,41,8,94,0.239227903
1,pre,0,42,2,72,0.394360352
1,pre,0,43,7,48,0.471591331
1,pre,0,44,8,100,0.560886334
1,pre,0,45,1,72,0.50814878
1,pre,0,46,7,48,0.521425027
1,pre,0,47,0,120,0.468294357
1,pre,0,48,2,94,0.433412447
1,pre,0,49,0,100,0.36602719
1,pre,0,50,6,72,0.426544207
1,pre,0,51,0,72,0.359810263
1,pre,0,52,7,120,0.515255356
1,pre,0,53,3,100,NaN
1,pre,0,54,8,120,0.344841697
1,pre,0,55,9,72,0.420733409
1,pre,0,56,2,72,0.418424705
1,pre,0,57,0,94,0.732944372
1,pre,0,58,8,72,0.569288003
1,pre,0,59,0,72,0.774245588
1,pre,0,60,8,100,0.457462076
1,pre,0,61,1,120,0.501084324
1,pre,0,62,7,120,0.48066486
1,pre,0,63,4,120,0.443119483
1,pre,0,64,0,94,0.487978953
1,pre,0,65,4,72,0.469242562
1,pre,0,66,3,72,NaN
1,pre,0,67,7,120,0.329329342
1,pre,0,68,7,94,0.372038313
1,pre,0,69,9,72,0.338433691
1,pre,0,70,4,100,0.350769266
1,pre,0,71,4,94,0.345432057
1,pre,0,72,8,120,0.305452986
1,pre,0,73,4,48,0.379702718
1,pre,0,74,4,48,0.391584907
1,pre,0,75,8,94,0.47789421
1,pre,0,76,8,120,0.449625426
1,pre,0,77,2,72,0.338088172
1,pre,0,78,7,72,0.478321228
1,pre,0,79,5,120,0.456394703
1,pre,0,80,7,48,0.419472217
1,pre,0,81,2,48,0.433160415
1,pre,0,82,9,94,0.509294229
1,pre,0,83,6,94,0.442231889
1,pre,0,84,2,48,0.451832084
1,pre,0,85,4,120,0.487029035
1,pre,0,86,5,94,0.512501485
1,pre,0,87,6,120,0.537245232
1,pre,0,88,4,72,0.548916823
1,pre,0,89,4,72,0.499400908
1,pre,0,90,5,100,0.518811213
1,pre,0,91,5,120,0.543595367
